Date,Open,High,Low,Close,Adj Close,Volume
2022-11-10,4055.687988,4133.000000,4040.648682,4133.000000,4133.000000,0
2022-11-11,3953.306641,4134.000000,3953.306641,4134.000000,4134.000000,0
2022-11-14,4030.834229,4040.315674,4030.834229,4012.822266,4012.822266,0
2022-11-15,4025.453613,4039.882813,4025.453613,4133.000000,4133.000000,0
2022-11-16,4064.569824,4064.569824,4047.727539,4132.000000,4132.000000,0
2022-11-17,4063.133789,4133.000000,4042.263428,4133.000000,4133.000000,0
2022-11-18,4034.388916,4135.000000,4034.388916,4135.000000,4135.000000,0
2022-11-21,4064.581787,4064.581787,4053.647217,4135.000000,4135.000000,0
2022-11-22,4041.636719,4041.636719,4041.459961,4133.000000,4133.000000,0
2022-11-23,4024.152588,4131.000000,4024.152588,4131.000000,4131.000000,0
2022-11-24,3999.213379,4040.284668,3999.213379,4130.000000,4130.000000,0
2022-11-25,4037.373291,4037.373291,4037.155273,4040.284668,4040.284668,0
2022-11-28,4055.258057,4131.000000,4050.916016,4130.000000,4130.000000,0
2022-11-29,4091.461914,4131.000000,4041.610596,4131.000000,4131.000000,0
2022-11-30,4051.395020,4127.000000,4028.529053,4130.000000,4130.000000,0
2022-12-01,4003.606445,4127.000000,4003.606445,4127.000000,4127.000000,0
2022-12-02,4000.665771,4100.000000,4000.665771,4100.000000,4100.000000,0
2022-12-05,4006.358643,4105.000000,4006.358643,4018.125732,4018.125732,0
2022-12-06,4029.608643,4029.608643,4013.294189,4105.000000,4105.000000,0
2022-12-07,4030.445801,4030.445801,4022.894775,4100.000000,4100.000000,0
2022-12-08,4018.910889,4115.000000,4018.910889,4112.000000,4112.000000,0
2022-12-09,3999.886475,4028.763428,3999.886475,4114.000000,4114.000000,0
2022-12-12,4045.512451,4045.512451,4034.449707,4032.048584,4032.048584,0
2022-12-13,4043.897705,4112.000000,4036.081787,4034.449707,4034.449707,0
2022-12-14,3999.153809,4019.010254,3999.153809,4101.000000,4101.000000,0
2022-12-15,4012.697266,4100.000000,4012.697266,4100.000000,4100.000000,0
2022-12-16,4008.738037,4101.000000,4008.738037,4101.000000,4101.000000,0
2022-12-19,4025.985107,4105.000000,4017.048096,4028.491943,4028.491943,0
2022-12-20,4017.218506,4105.000000,4017.218506,4105.000000,4105.000000,0
2022-12-21,4029.547852,4029.547852,4020.795410,4106.000000,4106.000000,0
2022-12-22,4012.549561,4020.529785,4012.549561,4106.000000,4106.000000,0
2022-12-23,4026.748779,4104.000000,4019.274414,4104.000000,4104.000000,0
2022-12-26,4018.555176,4105.000000,4018.555176,4105.000000,4105.000000,0
2022-12-27,4005.163086,4019.642334,4005.163086,4104.000000,4104.000000,0
2022-12-28,4023.193115,4100.000000,4023.193115,4105.000000,4105.000000,0
2022-12-29,4028.526611,4107.000000,4022.917236,4107.000000,4107.000000,0
2022-12-30,4014.859863,4023.680908,4014.859863,4105.000000,4105.000000,0
2023-01-02,4014.392578,4026.920410,4014.392578,4106.000000,4106.000000,0
2023-01-03,4035.949219,4108.000000,4025.209229,4026.920410,4026.920410,0
2023-01-04,4009.897705,4107.000000,4009.897705,4107.000000,4107.000000,0
2023-01-05,4017.834473,4026.062744,4017.834473,4106.000000,4106.000000,0
2023-01-06,4056.529297,4107.000000,4026.476807,4107.000000,4107.000000,0
2023-01-09,3957.811768,4110.000000,3957.811768,4110.000000,4110.000000,0
2023-01-10,4007.041748,4026.991455,4007.041748,4108.000000,4108.000000,0
2023-01-11,4026.334717,4107.000000,4026.045410,4107.000000,4107.000000,0
2023-01-12,4017.182861,4108.000000,4017.182861,4108.000000,4108.000000,0
2023-01-13,3987.342529,4109.000000,3987.342529,4109.000000,4109.000000,0
2023-01-16,4002.447266,4012.801758,4002.447266,4009.955322,4009.955322,0
2023-01-17,4016.029053,4110.000000,4016.029053,4012.801758,4012.801758,0
2023-01-18,4034.993408,4034.993408,4021.051025,4110.000000,4110.000000,0
2023-01-19,4033.706055,4105.000000,4023.600342,4105.000000,4105.000000,0
2023-01-20,4018.309082,4024.126709,4018.309082,4108.000000,4108.000000,0
2023-01-23,3998.880127,4108.000000,3998.880127,4024.126709,4024.126709,0
2023-01-24,4025.951904,4025.951904,4023.117676,4105.000000,4105.000000,0
2023-01-25,4013.145752,4105.000000,4013.145752,4106.000000,4106.000000,0
2023-01-26,3998.846191,4021.847900,3998.846191,4106.000000,4106.000000,0
2023-01-27,4023.269775,4096.000000,4012.099854,4095.000000,4095.000000,0
2023-01-30,4013.686768,4013.686768,4007.248291,4013.059326,4013.059326,0
2023-01-31,4022.490967,4100.000000,4012.568604,4090.000000,4090.000000,0
2023-02-01,4004.863037,4018.011719,4004.863037,4100.000000,4100.000000,0
2023-02-02,3974.428711,4018.927734,3974.428711,4098.000000,4098.000000,0
2023-02-03,4058.108154,4058.108154,4018.427246,4100.000000,4100.000000,0
2023-02-06,4072.078857,4072.078857,4013.741943,4055.871094,4055.871094,0
2023-02-07,4024.616211,4024.616211,4005.584717,4090.000000,4090.000000,0
2023-02-08,3998.638916,4091.000000,3998.638916,4090.000000,4090.000000,0
2023-02-09,4009.846436,4009.846436,4004.715820,4091.000000,4091.000000,0
2023-02-10,4018.443604,4018.443604,4006.432373,4089.000000,4089.000000,0
2023-02-13,4017.249023,4017.249023,4000.730713,4004.017822,4004.017822,0
2023-02-14,3980.575684,3993.269775,3980.575684,4000.730713,4000.730713,0
2023-02-15,3999.869629,4070.000000,3992.233154,4085.000000,4085.000000,0
2023-02-16,3995.328857,3995.328857,3988.436035,4001.796631,4001.796631,0
2023-02-17,4008.072754,4070.000000,3989.042236,4072.000000,4072.000000,0
2023-02-20,3969.219727,3985.227295,3969.219727,3965.356689,3965.356689,0
2023-02-21,3988.158203,3988.158203,3983.756592,3985.227295,3985.227295,0
2023-02-22,3981.009277,3981.009277,3966.045898,3984.317871,3984.317871,0
2023-02-23,3969.966553,3969.966553,3958.948242,3966.045898,3966.045898,0
2023-02-24,3960.591309,4032.000000,3952.835205,3958.948242,3958.948242,0
2023-02-27,3958.899658,4033.000000,3947.321045,3949.175781,3949.175781,0
2023-02-28,3938.390625,3948.035645,3938.390625,4033.000000,4033.000000,0
2023-03-01,3957.845215,4055.000000,3957.845215,4044.000000,4044.000000,0
2023-03-02,3966.897949,4055.000000,3966.897949,4055.000000,4055.000000,0
2023-03-03,3977.018799,4050.000000,3966.904053,4050.000000,4050.000000,0
2023-03-06,3957.338379,4047.000000,3957.338379,4047.000000,4047.000000,0
2023-03-07,3942.375732,4040.000000,3942.375732,4047.000000,4047.000000,0
2023-03-08,3998.273926,4041.000000,3952.749268,4041.000000,4041.000000,0
2023-03-09,3952.468018,4040.000000,3952.468018,4040.000000,4040.000000,0
2023-03-10,3944.480957,4036.000000,3944.480957,4036.000000,4036.000000,0
2023-03-13,3922.800049,4035.000000,3922.800049,3932.716309,3932.716309,0
2023-03-14,3934.092529,4039.000000,3934.092529,4039.000000,4039.000000,0
2023-03-15,3949.561768,4044.000000,3949.561768,4042.000000,4042.000000,0
2023-03-16,3956.087402,4044.000000,3956.087402,4044.000000,4044.000000,0
2023-03-17,3953.417236,3961.318115,3953.417236,4044.000000,4044.000000,0
2023-03-20,3944.324219,3959.952148,3944.324219,3906.126709,3906.126709,0
2023-03-21,3956.367920,3965.043701,3956.367920,3959.952148,3959.952148,0
2023-03-22,3967.952637,3967.952637,3967.952637,3965.043701,3965.043701,0
2023-03-23,3966.497314,3966.497314,3966.497314,3967.952637,3967.952637,0
2023-03-24,3970.528564,3970.528564,3970.528564,3966.497314,3966.497314,0
2023-03-27,3963.851807,4046.000000,3963.851807,3970.528564,3970.528564,0
2023-03-28,3961.502686,4046.000000,3961.502686,4046.000000,4046.000000,0
2023-03-29,3958.490723,4045.000000,3958.490723,3956.459473,3956.459473,0
2023-03-30,3963.226807,4045.000000,3963.226807,4045.000000,4045.000000,0
2023-03-31,3959.704102,4042.000000,3953.106201,4044.000000,4044.000000,0
2023-04-03,3963.922607,4040.000000,3963.922607,4042.000000,4042.000000,0
2023-04-04,3963.873047,4043.000000,3963.873047,4040.000000,4040.000000,0
2023-04-05,3963.980469,4049.000000,3963.980469,4043.000000,4043.000000,0
2023-04-06,3963.554443,3963.554443,3963.554443,4049.000000,4049.000000,0
2023-04-07,3966.226074,4047.000000,3966.226074,3963.554443,3963.554443,0
2023-04-10,3969.934570,4051.000000,3969.934570,3938.167725,3938.167725,0
2023-04-11,3971.459717,4052.000000,3971.459717,4050.000000,4050.000000,0
2023-04-12,3969.866699,4055.000000,3969.866699,4052.000000,4052.000000,0
